Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
42038.7,0.17,7.81,239.1,511.9,213.2,170.5,6.52,679.61,7.86,196.5,155.2,117.9,3.85,670.07,7.44,49.9,171.5,50.5,38.4,0.7,661.99,7.38,8.3,46.2,9.5,8.0,0.18,666.43,0.178,0.272,0.409,0.958,0.73,0.965,0.91,0.955,0.972
31785.8,0.16,8.03,225.7,489.6,340.9,272.6,10.4,734.97,7.93,190.5,243.3,195.1,6.7,725.39,7.43,43.7,188.2,68.6,63.6,1.35,726.3,7.3,7.3,53.2,12.7,14.6,0.14,721.33,0.156,0.287,0.356,0.962,0.718,0.967,0.891,0.963,0.987
46198.8,0.21,7.52,289.4,626.6,298.0,209.1,8.89,657.08,7.32,245.6,197.3,152.7,5.89,660.79,7.19,61.1,227.8,54.4,50.4,1.17,663.67,7.15,9.7,68.4,10.2,13.9,0.14,669.52,0.151,0.338,0.338,0.96,0.7,0.966,0.891,0.966,0.984
47772.7,0.14,7.8,199.4,463.0,319.0,230.3,8.93,669.89,7.66,165.5,214.3,171.8,5.78,658.2,7.4,42.9,164.8,59.2,54.1,1.04,655.71,7.45,8.9,47.3,14.2,9.8,0.21,655.55,0.17,0.328,0.353,0.946,0.713,0.955,0.898,0.955,0.976
24847.3,0.11,7.23,152.3,409.2,251.6,207.5,8.12,646.6,7.13,129.8,155.9,154.7,4.81,653.89,7.17,31.8,140.1,50.7,49.7,0.93,645.88,7.0,5.1,43.9,7.7,10.2,0.13,642.6,0.147,0.381,0.407,0.961,0.687,0.967,0.893,0.969,0.984
29681.9,0.14,7.03,199.3,437.2,276.6,207.1,9.45,613.26,6.85,167.2,198.4,141.4,6.71,613.12,6.81,38.8,150.5,59.3,50.5,1.4,606.84,6.98,5.8,36.2,8.4,9.8,0.2,612.62,0.161,0.283,0.29,0.966,0.759,0.971,0.917,0.97,0.978
41267.4,0.17,7.99,233.1,562.6,252.6,205.9,8.72,729.87,8.02,203.5,174.7,155.1,5.97,711.59,7.57,54.0,209.3,52.8,50.0,1.25,707.22,7.53,10.5,56.9,13.0,9.1,0.24,700.71,0.127,0.308,0.315,0.948,0.728,0.955,0.899,0.949,0.972
37340.5,0.08,7.39,148.6,347.8,359.9,256.2,10.56,652.92,7.46,125.5,250.7,183.8,6.76,654.02,7.18,33.6,124.2,75.1,59.0,1.33,648.34,7.23,4.7,37.6,14.6,13.1,0.16,653.55,0.155,0.304,0.36,0.963,0.697,0.968,0.892,0.959,0.985
39896.9,0.17,7.77,244.0,514.0,260.0,189.6,7.66,662.61,7.71,210.9,168.5,129.6,4.89,645.76,7.35,49.6,155.2,46.0,41.8,1.05,656.38,7.13,8.4,44.8,8.4,9.2,0.08,644.48,0.136,0.352,0.362,0.96,0.711,0.965,0.913,0.968,0.989
33229.4,0.14,7.45,181.4,435.8,334.1,269.4,9.81,611.65,7.35,155.2,225.1,203.3,6.49,618.58,7.12,34.9,171.9,64.9,64.4,1.2,618.51,7.03,6.4,44.7,12.7,11.4,0.11,620.23,0.144,0.326,0.339,0.958,0.74,0.964,0.897,0.962,0.989
47142.7,0.19,7.47,264.9,579.5,239.4,172.2,7.47,613.4,7.27,218.1,163.8,134.2,4.52,610.92,7.06,51.7,204.3,46.6,41.6,0.81,606.73,7.11,8.3,60.9,9.7,9.2,0.15,606.99,0.176,0.316,0.395,0.962,0.702,0.969,0.895,0.959,0.98
46608.6,0.07,7.75,131.6,353.3,306.2,211.7,8.18,647.25,7.78,111.4,209.0,154.3,5.42,665.76,7.49,29.5,126.4,57.1,50.0,1.06,666.62,7.43,4.6,33.3,10.4,9.2,0.17,663.38,0.153,0.318,0.338,0.959,0.737,0.965,0.906,0.966,0.979
40805.8,0.11,7.66,182.1,415.9,219.8,162.5,6.49,663.8,7.56,148.6,154.8,122.0,3.82,674.52,7.2,38.0,154.3,44.4,37.5,0.91,679.86,7.13,9.1,40.1,9.9,8.3,0.1,682.2,0.184,0.296,0.412,0.939,0.74,0.95,0.904,0.955,0.984
49040.0,0.09,7.74,157.9,392.4,316.0,235.0,9.94,670.91,7.61,133.7,225.9,174.6,6.44,660.3,7.45,35.8,141.1,63.4,55.4,1.3,657.54,7.32,6.1,41.4,10.8,14.1,0.14,657.06,0.153,0.285,0.352,0.954,0.706,0.961,0.894,0.966,0.986
43335.5,0.14,8.02,185.4,446.6,367.2,263.6,10.85,712.41,7.96,153.8,275.2,199.5,6.7,692.2,7.33,37.5,162.3,84.9,61.5,1.31,699.42,7.4,6.2,45.5,16.4,14.2,0.18,705.75,0.17,0.251,0.382,0.96,0.72,0.967,0.898,0.955,0.983
33159.5,0.15,7.91,225.5,495.0,255.7,211.1,8.61,690.08,7.77,193.6,178.8,157.1,5.26,682.53,7.39,45.6,169.9,56.3,50.6,1.21,672.36,7.4,7.9,45.5,6.8,11.4,0.24,675.72,0.142,0.301,0.389,0.959,0.732,0.965,0.908,0.973,0.972
42936.0,0.12,7.93,214.7,458.6,267.3,193.7,8.56,683.5,7.85,175.8,196.0,130.1,6.06,671.28,7.5,46.7,150.7,53.6,43.4,1.18,680.65,7.39,9.1,40.0,13.1,8.8,0.14,683.37,0.181,0.267,0.292,0.948,0.735,0.958,0.913,0.951,0.984
32425.5,0.15,8.31,198.8,469.0,216.8,163.3,7.14,714.68,8.1,169.1,145.1,131.7,4.66,732.93,7.75,40.6,166.4,42.4,41.5,1.15,732.86,7.47,5.8,42.3,8.1,9.2,0.14,734.61,0.15,0.331,0.348,0.966,0.746,0.971,0.91,0.963,0.98
48130.9,0.14,7.38,227.2,500.5,311.6,211.2,7.99,657.31,7.37,196.0,204.7,159.6,5.26,657.2,7.25,49.6,186.6,68.8,45.0,1.0,656.82,7.1,9.6,50.7,15.1,10.8,0.09,653.99,0.137,0.343,0.342,0.951,0.728,0.958,0.899,0.952,0.989
39338.7,0.16,7.63,226.5,502.5,203.5,172.0,6.22,666.28,7.53,197.1,139.6,120.2,3.44,675.62,7.44,44.6,170.7,38.0,40.2,0.59,670.07,7.31,8.4,52.2,8.5,9.6,0.07,668.26,0.13,0.314,0.447,0.957,0.694,0.963,0.896,0.958,0.989
38732.2,0.1,8.07,175.6,409.7,251.8,182.9,7.02,699.2,8.06,145.4,163.5,124.4,4.39,696.35,7.84,34.6,137.6,50.7,40.2,0.86,686.53,7.57,3.6,39.5,11.2,8.7,0.15,688.02,0.172,0.351,0.376,0.976,0.713,0.98,0.904,0.955,0.979
35086.8,0.18,8.24,245.2,522.7,299.0,209.0,9.02,735.76,8.12,208.5,209.4,154.0,6.0,733.96,7.58,55.2,192.7,63.2,46.3,1.17,720.63,7.47,12.6,57.8,12.6,10.5,0.28,719.59,0.15,0.3,0.335,0.939,0.7,0.949,0.889,0.958,0.969
49829.3,0.17,7.44,264.1,543.5,362.6,259.6,10.62,642.67,7.33,225.4,247.6,184.9,6.96,642.34,6.95,54.2,186.6,78.6,61.5,1.31,636.24,7.08,11.9,54.3,16.5,11.6,0.21,642.91,0.147,0.317,0.345,0.947,0.709,0.955,0.9,0.954,0.98
39932.7,0.16,7.57,232.7,514.2,407.0,332.6,12.56,667.11,7.37,205.5,269.3,241.8,7.52,678.17,7.23,53.8,176.7,82.0,73.2,1.76,682.87,7.17,8.5,47.0,14.5,15.0,0.26,683.43,0.117,0.338,0.401,0.959,0.734,0.964,0.909,0.964,0.979
36384.4,0.18,8.11,238.6,513.0,259.1,190.5,7.09,730.37,8.07,195.4,195.3,142.4,4.67,733.48,7.6,41.9,176.6,56.9,48.7,0.97,725.79,7.65,5.9,42.8,9.0,11.8,0.19,728.05,0.181,0.246,0.341,0.97,0.757,0.975,0.916,0.965,0.973
37345.0,0.15,7.88,222.1,482.7,330.3,274.9,10.71,695.38,7.71,184.2,226.9,193.9,7.07,684.8,7.4,44.4,168.4,68.3,61.9,1.46,672.42,7.39,8.3,43.5,13.5,14.9,0.25,664.0,0.171,0.313,0.34,0.955,0.742,0.962,0.91,0.959,0.976
43859.1,0.22,7.82,299.8,614.7,316.7,211.1,8.78,691.6,7.68,268.9,208.6,144.2,6.09,707.83,7.45,66.7,202.6,62.9,39.3,1.17,700.56,7.42,9.9,54.0,11.2,8.8,0.15,706.22,0.103,0.341,0.306,0.963,0.733,0.967,0.912,0.965,0.983
42747.8,0.14,7.6,226.3,468.1,278.5,204.3,7.52,661.22,7.5,191.0,202.1,149.8,4.69,658.29,7.48,53.0,159.5,60.3,48.5,0.88,655.21,7.27,11.6,41.7,14.9,12.9,0.25,651.72,0.156,0.274,0.376,0.939,0.739,0.949,0.911,0.946,0.967
43426.3,0.12,7.54,215.4,468.0,274.0,231.3,9.35,699.54,7.45,173.6,185.9,162.8,5.41,694.99,7.48,39.9,165.7,50.5,50.9,1.18,692.22,7.25,6.5,50.3,10.9,12.0,0.18,685.97,0.194,0.321,0.422,0.963,0.696,0.97,0.893,0.96,0.981
43869.7,0.12,7.8,197.8,433.3,283.3,216.1,8.98,679.95,7.57,165.2,207.0,156.6,5.54,651.66,7.51,43.3,153.4,67.1,48.5,0.94,650.63,7.22,10.2,46.8,12.0,10.3,0.15,660.5,0.165,0.269,0.383,0.938,0.695,0.948,0.892,0.958,0.983
57292.7,0.11,7.73,202.4,443.1,314.8,206.2,9.68,695.77,7.61,158.2,214.5,139.1,5.96,702.11,7.56,42.7,164.3,68.6,42.3,1.08,710.37,7.09,6.5,54.9,13.2,7.5,0.19,714.56,0.218,0.319,0.384,0.959,0.666,0.968,0.876,0.958,0.98
37378.2,0.1,7.67,166.5,394.3,252.7,187.6,7.73,675.89,7.63,142.8,172.5,133.3,5.25,676.9,7.36,33.5,152.7,47.6,42.3,1.02,686.89,7.39,5.9,39.7,9.8,11.5,0.17,692.76,0.143,0.317,0.321,0.959,0.74,0.965,0.899,0.961,0.978
35854.6,0.11,7.81,184.9,400.7,213.6,170.9,6.19,694.46,7.68,161.2,152.2,128.1,3.21,695.46,7.25,39.2,152.3,44.5,39.5,0.78,711.51,7.32,9.0,49.0,8.8,9.9,0.19,714.23,0.128,0.287,0.482,0.944,0.678,0.952,0.878,0.959,0.969
33323.7,0.15,7.7,216.5,484.8,184.5,167.9,5.74,670.67,7.58,179.5,133.9,125.1,3.6,666.64,7.37,45.3,177.0,39.3,34.5,0.68,653.64,7.21,7.7,55.9,8.4,10.3,0.07,653.08,0.171,0.274,0.373,0.957,0.684,0.965,0.885,0.954,0.987
46279.8,0.16,7.83,246.8,508.6,303.2,248.0,9.56,713.17,7.74,207.4,218.4,173.0,6.64,707.41,7.32,47.4,176.8,60.9,59.2,1.37,700.57,7.28,8.9,48.6,12.3,16.3,0.24,698.89,0.16,0.28,0.305,0.957,0.725,0.964,0.904,0.959,0.974
49228.9,0.16,8.65,232.5,494.0,276.6,218.4,8.17,754.82,8.54,202.3,192.9,149.0,5.31,751.12,7.91,49.2,167.9,50.4,47.0,1.06,756.71,7.66,10.5,48.9,7.3,8.4,0.17,761.38,0.13,0.303,0.35,0.948,0.709,0.955,0.901,0.974,0.979
38728.7,0.13,7.37,199.3,431.9,249.4,190.5,7.28,642.82,7.19,160.7,178.8,137.3,5.0,647.46,7.1,44.0,151.3,51.0,41.7,1.13,643.82,7.12,7.1,47.3,5.9,7.3,0.22,650.62,0.194,0.283,0.313,0.956,0.687,0.964,0.89,0.976,0.97
32931.6,0.18,7.86,249.4,502.9,267.8,207.2,8.44,717.42,7.75,205.4,193.5,153.1,5.0,723.81,7.45,52.9,180.7,56.6,45.6,0.84,730.69,7.49,7.6,50.4,10.6,5.7,0.12,730.29,0.176,0.278,0.408,0.963,0.721,0.969,0.9,0.961,0.986
32932.8,0.18,7.51,246.4,507.5,326.2,251.3,8.9,653.31,7.49,208.3,230.0,183.8,5.31,651.0,7.23,51.6,184.2,63.2,61.1,1.13,652.66,7.14,7.1,51.0,13.8,14.8,0.15,665.1,0.155,0.295,0.404,0.966,0.723,0.971,0.899,0.958,0.983
45673.0,0.14,8.09,222.4,493.3,285.3,223.4,9.14,697.84,7.91,185.3,198.6,157.3,6.37,707.33,7.4,46.7,177.6,60.3,46.4,1.25,719.97,7.44,9.3,47.2,11.3,11.2,0.22,718.78,0.167,0.304,0.303,0.95,0.734,0.958,0.904,0.96,0.975
45763.8,0.13,7.78,203.3,419.4,258.4,177.2,7.21,673.55,7.65,171.3,169.3,129.7,4.72,672.76,7.41,44.6,145.8,55.4,41.9,1.04,681.1,7.32,8.6,31.4,13.6,9.4,0.17,672.73,0.157,0.345,0.346,0.95,0.785,0.958,0.925,0.948,0.976
44408.9,0.19,8.14,241.5,543.3,347.6,242.6,10.33,697.66,7.93,198.9,248.1,185.2,6.74,692.62,7.65,52.1,196.5,77.8,57.5,1.27,701.1,7.4,11.0,55.3,15.5,10.8,0.15,690.78,0.176,0.286,0.347,0.945,0.719,0.955,0.898,0.956,0.986
34644.2,0.16,8.2,226.5,505.8,333.6,270.2,10.3,740.94,8.17,193.6,233.9,196.0,6.36,742.92,7.64,46.7,187.1,69.7,61.1,1.27,739.63,7.62,8.0,49.6,16.6,13.3,0.26,729.5,0.145,0.299,0.383,0.959,0.735,0.965,0.902,0.95,0.975
42223.0,0.07,7.82,187.2,376.6,291.2,225.5,9.01,670.71,7.72,158.3,200.5,151.0,5.89,657.12,7.36,44.2,138.8,52.8,45.0,1.17,656.34,7.29,5.8,34.6,12.9,10.2,0.21,653.85,0.154,0.311,0.347,0.963,0.751,0.969,0.908,0.956,0.977
40510.1,0.15,8.19,215.4,481.4,330.0,243.8,9.85,699.83,8.02,185.9,241.2,177.0,6.06,702.16,7.5,50.4,168.2,75.2,54.8,1.11,699.71,7.57,5.5,48.8,17.1,13.2,0.16,698.32,0.137,0.269,0.385,0.97,0.71,0.974,0.899,0.948,0.983
41211.7,0.17,7.13,233.2,518.4,368.1,264.2,10.36,633.83,7.04,199.3,246.2,204.5,7.09,618.41,6.85,51.8,174.8,74.5,65.5,1.29,606.37,6.98,13.6,43.1,12.5,14.8,0.17,610.46,0.146,0.331,0.316,0.932,0.753,0.942,0.917,0.966,0.984
